ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-02-18,2797.249943089985,993.3635507927627,4277.695161610144,2797.249943089985,2797.249943089985,-147.58504704076879,-147.58504704076879,-147.58504704076879,-147.58504704076879,-147.58504704076879,-147.58504704076879,0.0,0.0,0.0,2649.6648960492166
2022-02-19,2796.934506787578,1156.3171462818304,4536.606205107794,2796.934506787578,2796.934506787578,18.333063927645515,18.333063927645515,18.333063927645515,18.333063927645515,18.333063927645515,18.333063927645515,0.0,0.0,0.0,2815.2675707152234
2022-02-21,2796.3036341441066,1315.8189766479222,4596.425496089526,2796.3036341441066,2796.3036341441066,152.55415737142783,152.55415737142783,152.55415737142783,152.55415737142783,152.55415737142783,152.55415737142783,0.0,0.0,0.0,2948.8577915155342
2022-02-22,2795.9881978223707,1089.697579364432,4441.682288859753,2795.9881978223707,2795.9881978223707,-67.661987229564,-67.661987229564,-67.661987229564,-67.661987229564,-67.661987229564,-67.661987229564,0.0,0.0,0.0,2728.3262105928065
2022-02-23,2795.672761500635,1169.8361847756548,4515.690447194193,2795.672761500635,2795.672761500635,70.67056295131242,70.67056295131242,70.67056295131242,70.67056295131242,70.67056295131242,70.67056295131242,0.0,0.0,0.0,2866.3433244519474
2022-02-24,2795.357325178899,1098.109006951425,4462.811807007112,2795.357325178899,2795.357325178899,-31.86231183696739,-31.86231183696739,-31.86231183696739,-31.86231183696739,-31.86231183696739,-31.86231183696739,0.0,0.0,0.0,2763.4950133419316
2022-02-25,2795.041888857164,853.4743209346549,4268.656877416349,2795.041888857164,2795.041888857164,-147.5850470409272,-147.5850470409272,-147.5850470409272,-147.5850470409272,-147.5850470409272,-147.5850470409272,0.0,0.0,0.0,2647.4568418162366
2022-02-26,2794.726452535428,1074.8578270390012,4386.673499695911,2794.726452535428,2794.726452535428,18.3330639272405,18.3330639272405,18.3330639272405,18.3330639272405,18.3330639272405,18.3330639272405,0.0,0.0,0.0,2813.0595164626684
2022-02-27,2794.411016213692,1129.6921707230185,4320.627918487077,2794.411016213692,2794.411016213692,5.551561857541188,5.551561857541188,5.551561857541188,5.551561857541188,5.551561857541188,5.551561857541188,0.0,0.0,0.0,2799.9625780712336
2022-02-28,2794.0955798919567,1413.611373019919,4666.374435668836,2794.0955798919567,2794.0955798919567,152.55415737126404,152.55415737126404,152.55415737126404,152.55415737126404,152.55415737126404,152.55415737126404,0.0,0.0,0.0,2946.6497372632207
2022-03-01,2793.780143570221,1078.3322056629127,4458.404424018385,2793.780143570221,2793.780143570221,-67.66198722984139,-67.66198722984139,-67.66198722984139,-67.66198722984139,-67.66198722984139,-67.66198722984139,0.0,0.0,0.0,2726.1181563403793
2022-03-02,2793.464707248485,1245.9489254850766,4553.024164709871,2793.464707248485,2793.464707248485,70.6705629511978,70.6705629511978,70.6705629511978,70.6705629511978,70.6705629511978,70.6705629511978,0.0,0.0,0.0,2864.135270199683
2022-03-03,2793.149270926749,1164.801844930127,4436.694215464101,2793.149270926749,2793.149270926749,-31.86231183646488,-31.86231183646488,-31.86231183646488,-31.86231183646488,-31.86231183646488,-31.86231183646488,0.0,0.0,0.0,2761.286959090284
2022-03-04,2792.8338343810365,1034.0105936629454,4404.627430293506,2792.8338343810365,2792.8338343810365,-147.58504704048815,-147.58504704048815,-147.58504704048815,-147.58504704048815,-147.58504704048815,-147.58504704048815,0.0,0.0,0.0,2645.2487873405485
2022-03-05,2792.518397835324,1092.4829730246674,4517.838413907362,2792.518397835324,2792.518397835324,18.333063927453296,18.333063927453296,18.333063927453296,18.333063927453296,18.333063927453296,18.333063927453296,0.0,0.0,0.0,2810.851461762777
2022-03-06,2792.2029612896113,1037.0284866741545,4455.439182446516,2792.2029612896113,2792.2029612896113,5.551561857544862,5.551561857544862,5.551561857544862,5.551561857544862,5.551561857544862,5.551561857544862,0.0,0.0,0.0,2797.7545231471563
2022-03-07,2791.8875247438987,1271.4180978081695,4696.9070070269245,2791.8875247438987,2791.8875247438987,152.5541573712671,152.5541573712671,152.5541573712671,152.5541573712671,152.5541573712671,152.5541573712671,0.0,0.0,0.0,2944.441682115166
2022-03-08,2791.572088198186,931.4468750606912,4429.297014949129,2791.572088198186,2791.572088198186,-67.66198722976947,-67.66198722976947,-67.66198722976947,-67.66198722976947,-67.66198722976947,-67.66198722976947,0.0,0.0,0.0,2723.9101009684164
2022-03-09,2791.256651652473,1137.4738447114223,4452.057244415886,2791.256651652473,2791.256651652473,70.67056295102995,70.67056295102995,70.67056295102995,70.67056295102995,70.67056295102995,70.67056295102995,0.0,0.0,0.0,2861.9272146035028
2022-03-10,2790.9412151067604,1157.6792319607916,4363.954126557218,2790.9412151067604,2790.9412151067604,-31.862311836399865,-31.862311836399865,-31.862311836399865,-31.862311836399865,-31.862311836399865,-31.862311836399865,0.0,0.0,0.0,2759.0789032703606
2022-03-11,2790.6257785610483,883.9868908748595,4301.9041011597765,2790.6257785610483,2790.6257785610483,-147.58504704124397,-147.58504704124397,-147.58504704124397,-147.58504704124397,-147.58504704124397,-147.58504704124397,0.0,0.0,0.0,2643.0407315198045
2022-03-12,2790.3103421410883,1119.9029050137567,4493.296424958176,2790.3103421410883,2790.3103421410883,18.333063927224114,18.333063927224114,18.333063927224114,18.333063927224114,18.333063927224114,18.333063927224114,0.0,0.0,0.0,2808.6434060683123
2022-03-13,2789.9949057211284,1123.891815099904,4552.270696339502,2789.9949057211284,2789.9949057211284,5.551561857747477,5.551561857747477,5.551561857747477,5.551561857747477,5.551561857747477,5.551561857747477,0.0,0.0,0.0,2795.5464675788758
2022-03-14,2789.679469301169,1238.2358175513843,4742.658737535221,2789.679469301169,2789.679469301169,152.55415737152472,152.55415737152472,152.55415737152472,152.55415737152472,152.55415737152472,152.55415737152472,0.0,0.0,0.0,2942.2336266726934
2022-03-15,2789.364032881209,1091.6070295972008,4335.901549805182,2789.364032881209,2789.364032881209,-67.66198723004686,-67.66198723004686,-67.66198723004686,-67.66198723004686,-67.66198723004686,-67.66198723004686,0.0,0.0,0.0,2721.702045651162
2022-03-16,2789.048596461249,1194.4608355214207,4616.973049528317,2789.048596461249,2789.048596461249,70.67056295091533,70.67056295091533,70.67056295091533,70.67056295091533,70.67056295091533,70.67056295091533,0.0,0.0,0.0,2859.719159412164
2022-03-17,2788.733160041289,1045.9213391281694,4405.990120260741,2788.733160041289,2788.733160041289,-31.862311836334854,-31.862311836334854,-31.862311836334854,-31.862311836334854,-31.862311836334854,-31.862311836334854,0.0,0.0,0.0,2756.870848204954
2022-03-18,2788.417723621329,979.2795528843202,4251.302244361676,2788.417723621329,2788.417723621329,-147.58504704080497,-147.58504704080497,-147.58504704080497,-147.58504704080497,-147.58504704080497,-147.58504704080497,0.0,0.0,0.0,2640.832676580524
2022-03-19,2788.1022872013696,1110.2287685975577,4545.727306728575,2788.1022872013696,2788.1022872013696,18.333063927436903,18.333063927436903,18.333063927436903,18.333063927436903,18.333063927436903,18.333063927436903,0.0,0.0,0.0,2806.4353511288064
2022-03-20,2787.7868507814096,1186.0000403111803,4456.749113875585,2787.7868507814096,2787.7868507814096,5.55156185795011,5.55156185795011,5.55156185795011,5.55156185795011,5.55156185795011,5.55156185795011,0.0,0.0,0.0,2793.33841263936
2022-03-21,2787.4714143614497,1322.629451923269,4618.51070108769,2787.4714143614497,2787.4714143614497,152.55415737144435,152.55415737144435,152.55415737144435,152.55415737144435,152.55415737144435,152.55415737144435,0.0,0.0,0.0,2940.025571732894
2022-03-22,2787.1559779414897,1020.1339973563391,4440.956381930113,2787.1559779414897,2787.1559779414897,-67.66198722962562,-67.66198722962562,-67.66198722962562,-67.66198722962562,-67.66198722962562,-67.66198722962562,0.0,0.0,0.0,2719.493990711864
2022-03-23,2786.84054152153,1208.1089768102615,4484.5070931330765,2786.84054152153,2786.84054152153,70.67056295080069,70.67056295080069,70.67056295080069,70.67056295080069,70.67056295080069,70.67056295080069,0.0,0.0,0.0,2857.5111044723308
2022-03-24,2786.5251051015703,1084.7601626682465,4268.100385970953,2786.5251051015703,2786.5251051015703,-31.862311836904393,-31.862311836904393,-31.862311836904393,-31.862311836904393,-31.862311836904393,-31.862311836904393,0.0,0.0,0.0,2754.6627932646657
2022-03-25,2786.209668735704,922.0285458594187,4210.446471706214,2786.209668735704,2786.209668735704,-147.58504704083998,-147.58504704083998,-147.58504704083998,-147.58504704083998,-147.58504704083998,-147.58504704083998,0.0,0.0,0.0,2638.624621694864
2022-03-27,2785.5787960039725,1132.1391624248047,4458.581987936318,2785.5787960039725,2785.5787960039725,5.551561857953766,5.551561857953766,5.551561857953766,5.551561857953766,5.551561857953766,5.551561857953766,0.0,0.0,0.0,2791.1303578619263
2022-03-28,2785.2633596381065,1221.3411798989641,4606.385825542209,2785.2633596381065,2785.2633596381065,152.554157371364,152.554157371364,152.554157371364,152.554157371364,152.554157371364,152.554157371364,0.0,0.0,0.0,2937.8175170094705
2022-03-29,2784.9479232722406,993.3726968205252,4316.986031975598,2784.9479232722406,2784.9479232722406,-67.661987229903,-67.661987229903,-67.661987229903,-67.661987229903,-67.661987229903,-67.661987229903,0.0,0.0,0.0,2717.2859360423377
